,Feature,Importance,Cumulative Importance,Cumulative Percentage
1502,cat__device_id_Android_2749,0.0,1.0,100.0
1501,cat__device_id_Android_2740,0.0,1.0,100.0
1500,cat__device_id_Android_2637,0.0,1.0,100.0
1498,cat__device_id_Android_2609,0.0,1.0,100.0
1528,cat__device_id_Android_4178,0.0,1.0,100.0
1421,cat__ip_address_85.248.204.111,0.0,1.0,100.0
1422,cat__ip_address_85.249.72.13,0.0,1.0,100.0
1423,cat__ip_address_85.92.229.113,0.0,1.0,100.0
1424,cat__ip_address_87.153.253.158,0.0,1.0,100.0
1425,cat__ip_address_87.254.71.164,0.0,1.0,100.0
1426,cat__ip_address_88.184.46.236,0.0,1.0,100.0
1427,cat__ip_address_88.44.228.97,0.0,1.0,100.0
1534,cat__device_id_Android_4541,0.0,1.0,100.0
1430,cat__ip_address_89.225.106.68,0.0,1.0,100.0
1431,cat__ip_address_89.234.145.129,0.0,1.0,100.0
1432,cat__ip_address_89.55.106.232,0.0,1.0,100.0
1433,cat__ip_address_89.80.34.27,0.0,1.0,100.0
1434,cat__ip_address_9.129.147.231,0.0,1.0,100.0
1435,cat__ip_address_9.76.6.82,0.0,1.0,100.0
1436,cat__ip_address_90.137.72.153,0.0,1.0,100.0
1437,cat__ip_address_90.221.210.23,0.0,1.0,100.0
1429,cat__ip_address_88.94.212.14,0.0,1.0,100.0
1403,cat__ip_address_79.178.150.40,0.0,1.0,100.0
1405,cat__ip_address_8.86.207.110,0.0,1.0,100.0
1406,cat__ip_address_81.183.189.240,0.0,1.0,100.0
1407,cat__ip_address_81.46.247.102,0.0,1.0,100.0
1408,cat__ip_address_82.175.36.185,0.0,1.0,100.0
1409,cat__ip_address_82.207.189.179,0.0,1.0,100.0
1410,cat__ip_address_82.43.163.227,0.0,1.0,100.0
1420,cat__ip_address_85.185.30.124,0.0,1.0,100.0
1412,cat__ip_address_83.100.70.47,0.0,1.0,100.0
1413,cat__ip_address_83.35.250.41,0.0,1.0,100.0
1414,cat__ip_address_83.98.235.204,0.0,1.0,100.0
1415,cat__ip_address_84.149.1.223,0.0,1.0,100.0
1416,cat__ip_address_84.23.142.117,0.0,1.0,100.0
1417,cat__ip_address_84.51.118.30,0.0,1.0,100.0
1418,cat__ip_address_85.144.197.159,0.0,1.0,100.0
1419,cat__ip_address_85.177.61.13,0.0,1.0,100.0
1411,cat__ip_address_82.93.28.24,0.0,1.0,100.0
1456,cat__ip_address_97.26.213.123,0.0,1.0,100.0
1457,cat__ip_address_97.72.210.202,0.0,1.0,100.0
1458,cat__ip_address_97.79.188.177,0.0,1.0,100.0
1459,cat__ip_address_97.94.151.168,0.0,1.0,100.0
1460,cat__ip_address_97.99.34.28,0.0,1.0,100.0
1461,cat__ip_address_98.175.110.45,0.0,1.0,100.0
1462,cat__ip_address_98.201.183.92,0.0,1.0,100.0
1438,cat__ip_address_90.57.227.55,0.0,1.0,100.0
1464,cat__ip_address_99.168.125.147,0.0,1.0,100.0
1465,cat__ip_address_99.23.188.207,0.0,1.0,100.0
1466,cat__ip_address_99.247.144.130,0.0,1.0,100.0
1467,cat__ip_address_99.36.108.52,0.0,1.0,100.0
1468,cat__ip_address_99.4.75.106,0.0,1.0,100.0
1470,cat__device_id_Android_1057,0.0,1.0,100.0
1471,cat__device_id_Android_1256,0.0,1.0,100.0
1472,cat__device_id_Android_1306,0.0,1.0,100.0
1463,cat__ip_address_99.129.151.79,0.0,1.0,100.0
1439,cat__ip_address_90.66.202.28,0.0,1.0,100.0
1440,cat__ip_address_90.89.247.209,0.0,1.0,100.0
1441,cat__ip_address_91.142.24.153,0.0,1.0,100.0
1442,cat__ip_address_92.199.79.125,0.0,1.0,100.0
1443,cat__ip_address_92.234.152.8,0.0,1.0,100.0
1444,cat__ip_address_93.15.128.220,0.0,1.0,100.0
1445,cat__ip_address_93.195.70.27,0.0,1.0,100.0
1455,cat__ip_address_97.225.164.66,0.0,1.0,100.0
1447,cat__ip_address_94.184.116.30,0.0,1.0,100.0
1448,cat__ip_address_94.246.19.96,0.0,1.0,100.0
1449,cat__ip_address_95.117.244.125,0.0,1.0,100.0
1450,cat__ip_address_95.194.151.140,0.0,1.0,100.0
1451,cat__ip_address_96.126.153.115,0.0,1.0,100.0
1452,cat__ip_address_96.176.162.241,0.0,1.0,100.0
1453,cat__ip_address_96.246.104.118,0.0,1.0,100.0
1454,cat__ip_address_96.246.244.3,0.0,1.0,100.0
1446,cat__ip_address_94.129.3.170,0.0,1.0,100.0
1624,cat__device_id_Linux_1750,0.0,1.0,100.0
1625,cat__device_id_Linux_1807,0.0,1.0,100.0
1626,cat__device_id_Linux_1845,0.0,1.0,100.0
1627,cat__device_id_Linux_1864,0.0,1.0,100.0
1628,cat__device_id_Linux_1881,0.0,1.0,100.0
1629,cat__device_id_Linux_1893,0.0,1.0,100.0
1630,cat__device_id_Linux_1977,0.0,1.0,100.0
1404,cat__ip_address_8.230.208.200,0.0,1.0,100.0
1632,cat__device_id_Linux_2449,0.0,1.0,100.0
1633,cat__device_id_Linux_2467,0.0,1.0,100.0
1634,cat__device_id_Linux_2567,0.0,1.0,100.0
1635,cat__device_id_Linux_2591,0.0,1.0,100.0
1636,cat__device_id_Linux_2686,0.0,1.0,100.0
1637,cat__device_id_Linux_2759,0.0,1.0,100.0
1638,cat__device_id_Linux_2791,0.0,1.0,100.0
1639,cat__device_id_Linux_2897,0.0,1.0,100.0
1631,cat__device_id_Linux_2259,0.0,1.0,100.0
1606,cat__device_id_Android_9747,0.0,1.0,100.0
1607,cat__device_id_Android_9869,0.0,1.0,100.0
1608,cat__device_id_Android_9987,0.0,1.0,100.0
1609,cat__device_id_Linux_1003,0.0,1.0,100.0
1610,cat__device_id_Linux_1083,0.0,1.0,100.0
1611,cat__device_id_Linux_1094,0.0,1.0,100.0
1612,cat__device_id_Linux_1136,0.0,1.0,100.0
1613,cat__device_id_Linux_1173,0.0,1.0,100.0
1623,cat__device_id_Linux_1692,0.0,1.0,100.0
1615,cat__device_id_Linux_1399,0.0,1.0,100.0
1616,cat__device_id_Linux_1448,0.0,1.0,100.0
1617,cat__device_id_Linux_1550,0.0,1.0,100.0
1618,cat__device_id_Linux_1630,0.0,1.0,100.0
1619,cat__device_id_Linux_1644,0.0,1.0,100.0
1620,cat__device_id_Linux_1666,0.0,1.0,100.0
1621,cat__device_id_Linux_1669,0.0,1.0,100.0
1622,cat__device_id_Linux_1672,0.0,1.0,100.0
1614,cat__device_id_Linux_1187,0.0,1.0,100.0
1659,cat__device_id_Linux_3568,0.0,1.0,100.0
1660,cat__device_id_Linux_3605,0.0,1.0,100.0
1661,cat__device_id_Linux_3619,0.0,1.0,100.0
1662,cat__device_id_Linux_3703,0.0,1.0,100.0
1663,cat__device_id_Linux_3770,0.0,1.0,100.0
1664,cat__device_id_Linux_3784,0.0,1.0,100.0
1665,cat__device_id_Linux_3860,0.0,1.0,100.0
1640,cat__device_id_Linux_2901,0.0,1.0,100.0
1667,cat__device_id_Linux_3906,0.0,1.0,100.0
1668,cat__device_id_Linux_3924,0.0,1.0,100.0
1669,cat__device_id_Linux_3945,0.0,1.0,100.0
1670,cat__device_id_Linux_4193,0.0,1.0,100.0
1671,cat__device_id_Linux_4212,0.0,1.0,100.0
1672,cat__device_id_Linux_4245,0.0,1.0,100.0
1673,cat__device_id_Linux_4308,0.0,1.0,100.0
1675,cat__device_id_Linux_4393,0.0,1.0,100.0
1666,cat__device_id_Linux_3900,0.0,1.0,100.0
1641,cat__device_id_Linux_3010,0.0,1.0,100.0
1642,cat__device_id_Linux_3101,0.0,1.0,100.0
1643,cat__device_id_Linux_3128,0.0,1.0,100.0
1644,cat__device_id_Linux_3148,0.0,1.0,100.0
1645,cat__device_id_Linux_3159,0.0,1.0,100.0
1646,cat__device_id_Linux_3174,0.0,1.0,100.0
1647,cat__device_id_Linux_3213,0.0,1.0,100.0
1648,cat__device_id_Linux_3315,0.0,1.0,100.0
1658,cat__device_id_Linux_3544,0.0,1.0,100.0
1650,cat__device_id_Linux_3389,0.0,1.0,100.0
1651,cat__device_id_Linux_3419,0.0,1.0,100.0
1652,cat__device_id_Linux_3440,0.0,1.0,100.0
1653,cat__device_id_Linux_3476,0.0,1.0,100.0
1654,cat__device_id_Linux_3502,0.0,1.0,100.0
1655,cat__device_id_Linux_3524,0.0,1.0,100.0
1656,cat__device_id_Linux_3534,0.0,1.0,100.0
1657,cat__device_id_Linux_3539,0.0,1.0,100.0
1649,cat__device_id_Linux_3330,0.0,1.0,100.0
1554,cat__device_id_Android_6189,0.0,1.0,100.0
1555,cat__device_id_Android_6250,0.0,1.0,100.0
1556,cat__device_id_Android_6253,0.0,1.0,100.0
1557,cat__device_id_Android_6257,0.0,1.0,100.0
1558,cat__device_id_Android_6403,0.0,1.0,100.0
1559,cat__device_id_Android_6412,0.0,1.0,100.0
1560,cat__device_id_Android_6487,0.0,1.0,100.0
1605,cat__device_id_Android_9690,0.0,1.0,100.0
1562,cat__device_id_Android_6507,0.0,1.0,100.0
1563,cat__device_id_Android_6527,0.0,1.0,100.0
1564,cat__device_id_Android_6572,0.0,1.0,100.0
1565,cat__device_id_Android_6629,0.0,1.0,100.0
1566,cat__device_id_Android_6634,0.0,1.0,100.0
1567,cat__device_id_Android_6653,0.0,1.0,100.0
1568,cat__device_id_Android_6872,0.0,1.0,100.0
1569,cat__device_id_Android_6905,0.0,1.0,100.0
1561,cat__device_id_Android_6503,0.0,1.0,100.0
1536,cat__device_id_Android_4965,0.0,1.0,100.0
1537,cat__device_id_Android_4992,0.0,1.0,100.0
1538,cat__device_id_Android_5060,0.0,1.0,100.0
1539,cat__device_id_Android_5122,0.0,1.0,100.0
1540,cat__device_id_Android_5166,0.0,1.0,100.0
1541,cat__device_id_Android_5198,0.0,1.0,100.0
1542,cat__device_id_Android_5439,0.0,1.0,100.0
1543,cat__device_id_Android_5483,0.0,1.0,100.0
1553,cat__device_id_Android_6159,0.0,1.0,100.0
1545,cat__device_id_Android_5528,0.0,1.0,100.0
1546,cat__device_id_Android_5624,0.0,1.0,100.0
1547,cat__device_id_Android_5659,0.0,1.0,100.0
1548,cat__device_id_Android_5706,0.0,1.0,100.0
1549,cat__device_id_Android_5724,0.0,1.0,100.0
1550,cat__device_id_Android_5726,0.0,1.0,100.0
1551,cat__device_id_Android_5770,0.0,1.0,100.0
1552,cat__device_id_Android_6132,0.0,1.0,100.0
1544,cat__device_id_Android_5521,0.0,1.0,100.0
1589,cat__device_id_Android_8524,0.0,1.0,100.0
1590,cat__device_id_Android_8602,0.0,1.0,100.0
1591,cat__device_id_Android_8605,0.0,1.0,100.0
1592,cat__device_id_Android_8740,0.0,1.0,100.0
1593,cat__device_id_Android_8757,0.0,1.0,100.0
1594,cat__device_id_Android_8879,0.0,1.0,100.0
1595,cat__device_id_Android_8944,0.0,1.0,100.0
1570,cat__device_id_Android_7068,0.0,1.0,100.0
1597,cat__device_id_Android_9061,0.0,1.0,100.0
1598,cat__device_id_Android_9132,0.0,1.0,100.0
1599,cat__device_id_Android_9202,0.0,1.0,100.0
1600,cat__device_id_Android_9220,0.0,1.0,100.0
1601,cat__device_id_Android_9530,0.0,1.0,100.0
1602,cat__device_id_Android_9570,0.0,1.0,100.0
1603,cat__device_id_Android_9586,0.0,1.0,100.0
1604,cat__device_id_Android_9640,0.0,1.0,100.0
1596,cat__device_id_Android_9010,0.0,1.0,100.0
1571,cat__device_id_Android_7145,0.0,1.0,100.0
1572,cat__device_id_Android_7152,0.0,1.0,100.0
1573,cat__device_id_Android_7346,0.0,1.0,100.0
1574,cat__device_id_Android_7382,0.0,1.0,100.0
1575,cat__device_id_Android_7440,0.0,1.0,100.0
1576,cat__device_id_Android_7505,0.0,1.0,100.0
1577,cat__device_id_Android_7579,0.0,1.0,100.0
1578,cat__device_id_Android_7801,0.0,1.0,100.0
1588,cat__device_id_Android_8433,0.0,1.0,100.0
1580,cat__device_id_Android_7866,0.0,1.0,100.0
1581,cat__device_id_Android_7906,0.0,1.0,100.0
1582,cat__device_id_Android_8005,0.0,1.0,100.0
1583,cat__device_id_Android_8046,0.0,1.0,100.0
1584,cat__device_id_Android_8063,0.0,1.0,100.0
1585,cat__device_id_Android_8081,0.0,1.0,100.0
1586,cat__device_id_Android_8121,0.0,1.0,100.0
1587,cat__device_id_Android_8197,0.0,1.0,100.0
1579,cat__device_id_Android_7813,0.0,1.0,100.0
1214,cat__ip_address_248.138.176.222,0.0,1.0,100.0
1215,cat__ip_address_248.142.14.4,0.0,1.0,100.0
1216,cat__ip_address_248.82.75.189,0.0,1.0,100.0
1217,cat__ip_address_248.93.180.230,0.0,1.0,100.0
1218,cat__ip_address_249.145.164.5,0.0,1.0,100.0
1219,cat__ip_address_249.37.183.72,0.0,1.0,100.0
1220,cat__ip_address_25.121.33.190,0.0,1.0,100.0
1674,cat__device_id_Linux_4354,0.0,1.0,100.0
1222,cat__ip_address_25.195.169.57,0.0,1.0,100.0
1223,cat__ip_address_25.35.247.193,0.0,1.0,100.0
1224,cat__ip_address_250.192.22.149,0.0,1.0,100.0
1225,cat__ip_address_251.21.122.217,0.0,1.0,100.0
1226,cat__ip_address_251.63.147.134,0.0,1.0,100.0
1227,cat__ip_address_252.12.245.103,0.0,1.0,100.0
1228,cat__ip_address_252.128.191.168,0.0,1.0,100.0
1229,cat__ip_address_252.190.63.133,0.0,1.0,100.0
1221,cat__ip_address_25.130.35.164,0.0,1.0,100.0
1197,cat__ip_address_242.30.99.66,0.0,1.0,100.0
1198,cat__ip_address_243.178.52.123,0.0,1.0,100.0
1199,cat__ip_address_243.252.43.249,0.0,1.0,100.0
1200,cat__ip_address_243.49.215.253,0.0,1.0,100.0
1201,cat__ip_address_243.57.148.217,0.0,1.0,100.0
1202,cat__ip_address_244.194.115.45,0.0,1.0,100.0
1203,cat__ip_address_244.24.200.131,0.0,1.0,100.0
1213,cat__ip_address_247.34.61.75,0.0,1.0,100.0
1205,cat__ip_address_245.172.224.87,0.0,1.0,100.0
1206,cat__ip_address_245.253.198.19,0.0,1.0,100.0
1207,cat__ip_address_245.66.225.138,0.0,1.0,100.0
1208,cat__ip_address_246.11.175.227,0.0,1.0,100.0
1209,cat__ip_address_246.163.37.77,0.0,1.0,100.0
1210,cat__ip_address_247.110.81.203,0.0,1.0,100.0
1211,cat__ip_address_247.159.164.78,0.0,1.0,100.0
1212,cat__ip_address_247.23.211.182,0.0,1.0,100.0
1204,cat__ip_address_244.89.134.133,0.0,1.0,100.0
1249,cat__ip_address_28.168.215.6,0.0,1.0,100.0
1250,cat__ip_address_28.236.25.135,0.0,1.0,100.0
1251,cat__ip_address_28.3.26.67,0.0,1.0,100.0
1252,cat__ip_address_28.7.98.38,0.0,1.0,100.0
1253,cat__ip_address_3.157.167.43,0.0,1.0,100.0
1254,cat__ip_address_3.165.240.41,0.0,1.0,100.0
1255,cat__ip_address_3.180.44.22,0.0,1.0,100.0
1230,cat__ip_address_252.205.100.91,0.0,1.0,100.0
1257,cat__ip_address_3.78.108.170,0.0,1.0,100.0
1258,cat__ip_address_3.95.52.75,0.0,1.0,100.0
1259,cat__ip_address_30.79.201.102,0.0,1.0,100.0
1260,cat__ip_address_31.192.59.115,0.0,1.0,100.0
1261,cat__ip_address_32.11.2.147,0.0,1.0,100.0
1262,cat__ip_address_32.175.8.62,0.0,1.0,100.0
1263,cat__ip_address_32.198.229.116,0.0,1.0,100.0
1264,cat__ip_address_33.147.152.42,0.0,1.0,100.0
1256,cat__ip_address_3.30.172.89,0.0,1.0,100.0
1231,cat__ip_address_252.242.217.41,0.0,1.0,100.0
1232,cat__ip_address_252.74.175.65,0.0,1.0,100.0
1233,cat__ip_address_253.231.174.209,0.0,1.0,100.0
1234,cat__ip_address_253.93.240.82,0.0,1.0,100.0
1235,cat__ip_address_254.175.102.194,0.0,1.0,100.0
1236,cat__ip_address_254.177.186.21,0.0,1.0,100.0
1237,cat__ip_address_254.45.8.244,0.0,1.0,100.0
1238,cat__ip_address_254.94.139.211,0.0,1.0,100.0
1248,cat__ip_address_28.12.230.43,0.0,1.0,100.0
1240,cat__ip_address_255.71.222.168,0.0,1.0,100.0
1241,cat__ip_address_26.36.193.32,0.0,1.0,100.0
1242,cat__ip_address_26.51.186.149,0.0,1.0,100.0
1243,cat__ip_address_26.55.131.103,0.0,1.0,100.0
1244,cat__ip_address_26.64.169.62,0.0,1.0,100.0
1245,cat__ip_address_27.107.234.152,0.0,1.0,100.0
1246,cat__ip_address_27.181.248.134,0.0,1.0,100.0
1247,cat__ip_address_27.27.81.95,0.0,1.0,100.0
1239,cat__ip_address_255.116.126.59,0.0,1.0,100.0
1145,cat__ip_address_220.167.195.9,0.0,1.0,100.0
1146,cat__ip_address_220.41.113.117,0.0,1.0,100.0
1147,cat__ip_address_220.75.35.119,0.0,1.0,100.0
1148,cat__ip_address_221.167.250.153,0.0,1.0,100.0
1149,cat__ip_address_221.176.226.215,0.0,1.0,100.0
1150,cat__ip_address_222.92.244.3,0.0,1.0,100.0
1151,cat__ip_address_223.175.98.136,0.0,1.0,100.0
1196,cat__ip_address_242.182.54.113,0.0,1.0,100.0
1153,cat__ip_address_223.59.35.77,0.0,1.0,100.0
1154,cat__ip_address_225.143.47.76,0.0,1.0,100.0
1155,cat__ip_address_225.185.187.170,0.0,1.0,100.0
1156,cat__ip_address_226.77.36.98,0.0,1.0,100.0
1157,cat__ip_address_227.161.20.187,0.0,1.0,100.0
1158,cat__ip_address_227.192.132.77,0.0,1.0,100.0
1159,cat__ip_address_227.205.43.29,0.0,1.0,100.0
1160,cat__ip_address_227.31.198.231,0.0,1.0,100.0
1152,cat__ip_address_223.200.221.223,0.0,1.0,100.0
1127,cat__ip_address_214.99.177.218,0.0,1.0,100.0
1128,cat__ip_address_215.179.148.26,0.0,1.0,100.0
1129,cat__ip_address_215.20.88.155,0.0,1.0,100.0
1130,cat__ip_address_215.96.144.166,0.0,1.0,100.0
1131,cat__ip_address_216.180.141.221,0.0,1.0,100.0
1132,cat__ip_address_217.118.159.45,0.0,1.0,100.0
1133,cat__ip_address_217.44.216.169,0.0,1.0,100.0
1144,cat__ip_address_22.73.154.225,0.0,1.0,100.0
1135,cat__ip_address_218.135.226.146,0.0,1.0,100.0
1136,cat__ip_address_218.217.169.225,0.0,1.0,100.0
1137,cat__ip_address_218.31.121.14,0.0,1.0,100.0
1138,cat__ip_address_218.88.166.28,0.0,1.0,100.0
1139,cat__ip_address_219.14.218.193,0.0,1.0,100.0
1141,cat__ip_address_219.75.93.206,0.0,1.0,100.0
1142,cat__ip_address_22.173.35.81,0.0,1.0,100.0
1143,cat__ip_address_22.64.142.154,0.0,1.0,100.0
1134,cat__ip_address_217.66.2.85,0.0,1.0,100.0
1180,cat__ip_address_235.207.18.23,0.0,1.0,100.0
1181,cat__ip_address_235.22.28.197,0.0,1.0,100.0
1182,cat__ip_address_237.147.111.211,0.0,1.0,100.0
1183,cat__ip_address_237.72.231.140,0.0,1.0,100.0
1184,cat__ip_address_239.253.103.158,0.0,1.0,100.0
1185,cat__ip_address_239.254.255.141,0.0,1.0,100.0
1186,cat__ip_address_24.12.236.60,0.0,1.0,100.0
1161,cat__ip_address_228.106.113.12,0.0,1.0,100.0
1188,cat__ip_address_24.141.73.186,0.0,1.0,100.0
1189,cat__ip_address_24.183.64.248,0.0,1.0,100.0
1190,cat__ip_address_24.232.217.213,0.0,1.0,100.0
1191,cat__ip_address_240.122.147.226,0.0,1.0,100.0
1192,cat__ip_address_240.215.254.217,0.0,1.0,100.0
1193,cat__ip_address_241.26.237.28,0.0,1.0,100.0
1194,cat__ip_address_242.119.13.44,0.0,1.0,100.0
1195,cat__ip_address_242.159.19.121,0.0,1.0,100.0
1187,cat__ip_address_24.124.169.34,0.0,1.0,100.0
1162,cat__ip_address_228.131.144.53,0.0,1.0,100.0
1163,cat__ip_address_228.146.122.70,0.0,1.0,100.0
1164,cat__ip_address_228.50.129.31,0.0,1.0,100.0
1165,cat__ip_address_229.147.38.15,0.0,1.0,100.0
1166,cat__ip_address_23.19.14.46,0.0,1.0,100.0
1167,cat__ip_address_23.233.29.214,0.0,1.0,100.0
1168,cat__ip_address_23.57.91.58,0.0,1.0,100.0
1169,cat__ip_address_23.71.200.103,0.0,1.0,100.0
1179,cat__ip_address_234.34.166.45,0.0,1.0,100.0
1171,cat__ip_address_230.167.50.83,0.0,1.0,100.0
1172,cat__ip_address_230.204.245.62,0.0,1.0,100.0
1173,cat__ip_address_230.214.20.133,0.0,1.0,100.0
1174,cat__ip_address_230.217.134.106,0.0,1.0,100.0
1175,cat__ip_address_231.155.139.212,0.0,1.0,100.0
1176,cat__ip_address_232.66.165.60,0.0,1.0,100.0
1177,cat__ip_address_233.130.176.108,0.0,1.0,100.0
1178,cat__ip_address_234.133.211.198,0.0,1.0,100.0
1170,cat__ip_address_230.139.85.99,0.0,1.0,100.0
1352,cat__ip_address_64.38.183.83,0.0,1.0,100.0
1353,cat__ip_address_64.58.178.225,0.0,1.0,100.0
1354,cat__ip_address_64.9.117.13,0.0,1.0,100.0
1355,cat__ip_address_65.122.180.40,0.0,1.0,100.0
1356,cat__ip_address_65.156.207.242,0.0,1.0,100.0
1357,cat__ip_address_65.169.40.184,0.0,1.0,100.0
1358,cat__ip_address_65.22.96.171,0.0,1.0,100.0
1265,cat__ip_address_33.172.168.61,0.0,1.0,100.0
1360,cat__ip_address_65.97.250.233,0.0,1.0,100.0
1361,cat__ip_address_66.157.51.49,0.0,1.0,100.0
1362,cat__ip_address_66.198.27.229,0.0,1.0,100.0
1363,cat__ip_address_67.105.100.116,0.0,1.0,100.0
1364,cat__ip_address_67.150.76.119,0.0,1.0,100.0
1365,cat__ip_address_67.186.207.144,0.0,1.0,100.0
1366,cat__ip_address_67.218.81.238,0.0,1.0,100.0
1367,cat__ip_address_67.219.138.109,0.0,1.0,100.0
1359,cat__ip_address_65.56.120.78,0.0,1.0,100.0
1335,cat__ip_address_56.248.110.212,0.0,1.0,100.0
1336,cat__ip_address_57.131.192.133,0.0,1.0,100.0
1337,cat__ip_address_57.176.137.164,0.0,1.0,100.0
1338,cat__ip_address_57.183.190.165,0.0,1.0,100.0
1339,cat__ip_address_57.213.106.154,0.0,1.0,100.0
1340,cat__ip_address_57.75.9.71,0.0,1.0,100.0
1341,cat__ip_address_58.138.74.44,0.0,1.0,100.0
1351,cat__ip_address_64.169.171.91,0.0,1.0,100.0
